month,insertions,deletions,net_churn
2001-12,1914,46,1868
2002-01,90283,3126,87157
2002-02,2918,856,2062
2002-03,4943,129,4814
2002-04,8079,3734,4345
2002-05,435,167,268
2002-06,6423,2801,3622
2002-07,107,35,72
2002-08,573,393,180
2002-09,42043,14797,27246
2002-10,3978,1959,2019
2002-11,453,77,376
2002-12,216,41,175
2003-01,632,149,483
2003-02,558,118,440
2003-03,1276,332,944
2003-04,218,17,201
2003-05,172,33,139
2003-06,7,7,0
2003-08,176,63,113
2003-09,1866,994,872
2003-10,1582,1625,-43
2003-11,80,60,20
2003-12,209,114,95
2004-01,3797,138,3659
2004-02,3569,139476,-135907
2004-03,471,163,308
2004-04,1340,137,1203
2004-05,1051,138,913
2004-06,1610,99,1511
2004-08,40,21,19
2004-09,921,692,229
2004-10,325,211,114
2004-11,2242,501,1741
2004-12,1019,687,332
2005-01,1094,740,354
2005-02,4,0,4
2005-03,294,118,176
2005-04,1346,0,1346
2005-05,51,48,3
2005-06,55,16,39
2005-07,46,24,22
2005-08,77,1,76
2005-09,175445,46928,128517
2005-10,14773,10666,4107
2005-11,38695,28477,10218
2005-12,18904,16341,2563
2006-01,16538,142392,-125854
2006-02,8325,4305,4020
2006-03,10802,5771,5031
2006-04,4118,1997,2121
2006-05,2680,594,2086
2006-06,23919,12419,11500
2006-07,52575,222881,-170306
2006-08,13069,7322,5747
2006-09,8506,4644,3862
2006-10,18503,8558,9945
2006-11,4978,2542,2436
2006-12,3846,2749,1097
2007-01,3915,3747,168
2007-02,2418,1348,1070
2007-03,13264,7246,6018
2007-04,9866,7219,2647
2007-05,4954,3355,1599
2007-06,650,398,252
2007-07,1653,1092,561
2007-08,28366,25046,3320
2007-09,6106,3385,2721
2007-10,1077,928,149
2007-11,4183,1397,2786
2007-12,18054,237896,-219842
2008-01,8231,2930,5301
2008-02,19722,6838,12884
2008-03,4277,2913,1364
2008-04,16516,11260,5256
2008-05,20572,18955,1617
2008-06,9425,7158,2267
2008-07,7525,26470,-18945
2008-08,105501,14346,91155
2008-09,6061,4723,1338
2008-10,27527,10206,17321
2008-11,25030,18761,6269
2008-12,9056,3582,5474
2009-01,5608,535,5073
2009-02,47444,24880,22564
2009-03,27256,6855,20401
2009-04,49332,32687,16645
2009-05,5371,6819,-1448
2009-06,8393,4373,4020
2009-07,6975,2609,4366
2009-08,25360,9102,16258
2009-09,2332,1868,464
2009-10,23973,11650,12323
2009-11,23561,4014,19547
2009-12,9185,5002,4183
2010-01,738,450,288
2010-02,14500,10059,4441
2010-03,2844,2754,90
2010-04,881,413,468
2010-05,3607,2504,1103
2010-06,1974,148,1826
2010-07,3268,2241,1027
2010-08,2969,707,2262
